id,stratum,source,cluster,title,url,status
B06,B_neurips_dnb,NeurIPS 2025 D&B,B06,MJ-Bench: Is Your Multimodal Reward Model Really a Good Judge for Text-to-Image Generation?,https://proceedings.neurips.cc/paper_files/paper/2025/hash/59d2eaa5842fa641ff9b8e4c7ff0f6ee-Abstract-Datasets_and_Benchmarks_Track.html,draw
B07,B_neurips_dnb,NeurIPS 2025 D&B,B07,"BLINK-Twice: You see, but do you observe?  A Reasoning Benchmark on Visual Perception",https://proceedings.neurips.cc/paper_files/paper/2025/hash/2b76873e897f3de3069b2f360c65e0c2-Abstract-Datasets_and_Benchmarks_Track.html,draw
B08,B_neurips_dnb,NeurIPS 2025 D&B,B08,Toward a Vision-Language Foundation Model for Medical Data: Multimodal Dataset and Benchmarks for Vietnamese PET/CT Report Generation,https://proceedings.neurips.cc/paper_files/paper/2025/hash/a9f5ebadfbf7b6b10d685c385713b35a-Abstract-Datasets_and_Benchmarks_Track.html,draw
B09,B_neurips_dnb,NeurIPS 2025 D&B,B09,Can LLMs Correct Themselves? A Benchmark of Self-Correction in LLMs,https://proceedings.neurips.cc/paper_files/paper/2025/hash/ec07904adc847a45f53dceb44078f8f0-Abstract-Datasets_and_Benchmarks_Track.html,draw
B10,B_neurips_dnb,NeurIPS 2025 D&B,B10,Open CaptchaWorld: A Comprehensive Web-based Platform for Testing and Benchmarking Multimodal LLM Agents,https://proceedings.neurips.cc/paper_files/paper/2025/hash/8196be81e68289d7a9ece21ed7f5750a-Abstract-Datasets_and_Benchmarks_Track.html,draw
B11,B_neurips_dnb,NeurIPS 2025 D&B,B11,OS-Harm: A Benchmark for Measuring Safety of Computer Use Agents,https://proceedings.neurips.cc/paper_files/paper/2025/hash/4009bff0cd87ba2203c8e3a2f082aaec-Abstract-Datasets_and_Benchmarks_Track.html,draw
B12,B_neurips_dnb,NeurIPS 2025 D&B,B12,MIR-Bench: Can Your LLM Recognize Complicated Patterns via Many-Shot In-Context Reasoning?,https://proceedings.neurips.cc/paper_files/paper/2025/hash/796076672b00f54fb01d05a2e5fde363-Abstract-Datasets_and_Benchmarks_Track.html,draw
B13,B_neurips_dnb,NeurIPS 2025 D&B,B13,MVU-Eval: Towards Multi-Video Understanding Evaluation for Multimodal LLMs,https://proceedings.neurips.cc/paper_files/paper/2025/hash/4dbb159f2c68b359b3b6ed7dd039481c-Abstract-Datasets_and_Benchmarks_Track.html,draw
B14,B_neurips_dnb,NeurIPS 2025 D&B,B14,GSO: Challenging Software Optimization Tasks for Evaluating SWE-Agents,https://proceedings.neurips.cc/paper_files/paper/2025/hash/ddd98389004161943e646322a16348c3-Abstract-Datasets_and_Benchmarks_Track.html,draw
B15,B_neurips_dnb,NeurIPS 2025 D&B,B15,CXReasonBench: A Benchmark for Evaluating Structured Diagnostic Reasoning in Chest X-rays,https://proceedings.neurips.cc/paper_files/paper/2025/hash/7ef1f85b1c93a08274ee388a01381729-Abstract-Datasets_and_Benchmarks_Track.html,draw
B16,B_neurips_dnb,NeurIPS 2025 D&B,B16,TimE: A Multi-level Benchmark for Temporal Reasoning of LLMs in Real-World Scenarios,https://proceedings.neurips.cc/paper_files/paper/2025/hash/84f1e188c2be52f89f6e206bc37d092d-Abstract-Datasets_and_Benchmarks_Track.html,draw
B17,B_neurips_dnb,NeurIPS 2025 D&B,B17,WASP: Benchmarking Web Agent Security Against Prompt Injection Attacks,https://proceedings.neurips.cc/paper_files/paper/2025/hash/1c9818387f5dd0a0bc151214660f059d-Abstract-Datasets_and_Benchmarks_Track.html,draw
B18,B_neurips_dnb,NeurIPS 2025 D&B,B18,Can Large Language Models Help Multimodal Language Analysis? MMLA: A Comprehensive Benchmark,https://proceedings.neurips.cc/paper_files/paper/2025/hash/99e6db87fb42f3c9d2d870984e1319db-Abstract-Datasets_and_Benchmarks_Track.html,draw
B19,B_neurips_dnb,NeurIPS 2025 D&B,B19,AbstentionBench: Reasoning LLMs Fail on Unanswerable Questions,https://proceedings.neurips.cc/paper_files/paper/2025/hash/fb122bfc3f0127a94ded048b5b03496f-Abstract-Datasets_and_Benchmarks_Track.html,draw
B20,B_neurips_dnb,NeurIPS 2025 D&B,B20,EndoBench: A Comprehensive Evaluation of Multi-Modal Large Language Models for Endoscopy Analysis,https://proceedings.neurips.cc/paper_files/paper/2025/hash/02ff2906a49d985808e7ba8798b9f9cd-Abstract-Datasets_and_Benchmarks_Track.html,draw
C01,C_third_party,METR,METR,Frontier Risk Report (Feb-Mar 2026),https://metr.org/blog/2026-05-19-frontier-risk-report/,draw
C02,C_third_party,METR,METR,"Review: automated R&D section, Anthropic Risk Report",https://metr.org/blog/2026-05-08-rd-section-anthropic-risk-report-feb-2026-review/,draw
C03,C_third_party,METR,METR,Red-Teaming Anthropic's Internal Agent Monitoring,https://metr.org/blog/2026-03-25-red-teaming-anthropic-agent-monitoring/,draw
C04,C_third_party,METR,METR,"Review: Anthropic Sabotage Risk Report, Claude Opus 4.6",https://metr.org/blog/2026-03-12-sabotage-risk-report-opus-4-6-review/,capped_v15
C05,C_third_party,METR,METR,Review: Anthropic Summer 2025 Pilot Sabotage Risk Report,https://metr.org/blog/2025-10-28-sabotage-report-review/,capped_v15
C06,C_third_party,METR,METR,Summary of gpt-oss methodology review,https://metr.org/blog/2025-10-23-gpt-oss-methodology-review/,capped
C07,C_third_party,METR,METR,GPT-5.6 Sol evaluation,https://metr.org/blog/2026-06-26-gpt-5-6-sol/,capped
C08,C_third_party,METR,METR,GPT-5.1-Codex-Max evaluation,https://metr.org/evaluations/gpt-5-1-codex-max-report/,capped
C09,C_third_party,METR,METR,GPT-5 evaluation,https://metr.org/evaluations/gpt-5-report/,capped
C10,C_third_party,METR,METR,DeepSeek and Qwen evaluation,https://metr.org/evaluations/deepseek-qwen-report/,capped
C11,C_third_party,METR,METR,OpenAI o3 and o4-mini evaluation,https://metr.org/evaluations/openai-o3-report/,capped
C12,C_third_party,METR,METR,Claude 3.7 evaluation,https://metr.org/evaluations/claude-3-7-report/,capped
C13,C_third_party,METR,METR,DeepSeek-R1 evaluation,https://metr.org/evaluations/deepseek-r1-report/,capped
C14,C_third_party,METR,METR,GPT-4.5 evaluation,https://metr.org/blog/2025-02-27-gpt-4-5-evals/,capped
C15,C_third_party,METR,METR,Claude 3.5 Sonnet and o1 evaluation,https://metr.org/blog/2025-01-31-update-sonnet-o1-evals/,capped
C16,C_third_party,UK AISI,UK AISI,Evaluation of OpenAI's GPT-5.5 cyber capabilities,https://www.aisi.gov.uk/blog/our-evaluation-of-openais-gpt-5-5-cyber-capabilities,draw
C17,C_third_party,UK AISI,UK AISI,Evaluation of Claude Mythos Preview's cyber capabilities,https://www.aisi.gov.uk/blog/our-evaluation-of-claude-mythos-previews-cyber-capabilities,draw
C18,C_third_party,UK AISI,UK AISI,Preliminary assessment of Kimi K3's cyber capabilities,https://www.aisi.gov.uk/blog/preliminary-assessment-of-kimi-k3s-cyber-capabilities,draw
C19,C_third_party,UK AISI,UK AISI,How far behind the frontier are leading open weight models on cyber?,https://www.aisi.gov.uk/blog/how-far-behind-the-frontier-are-leading-open-weight-models-on-cyber,capped_v15
C20,C_third_party,UK AISI,UK AISI,Pre-deployment evaluation of OpenAI's o1 model,https://www.aisi.gov.uk/blog/pre-deployment-evaluation-of-openais-o1-model,capped_v15
C21,C_third_party,UK AISI,UK AISI,Pre-deployment evaluation of Anthropic's upgraded Claude 3.5 Sonnet,https://www.aisi.gov.uk/blog/pre-deployment-evaluation-of-anthropics-upgraded-claude-3-5-sonnet,capped
C22,C_third_party,Apollo Research,Apollo Research,Measuring reward-seeking via contrastive belief updates,https://www.apolloresearch.ai/science/measuring-reward-seeking-via-contrastivebelief-updates,draw
C23,C_third_party,Apollo Research,Apollo Research,Stress testing deliberative alignment for anti-scheming training,https://www.apolloresearch.ai/science/stress-testing-deliberative-alignment-for-anti-scheming-training,draw
C24,C_third_party,Apollo Research,Apollo Research,Frontier models are capable of in-context scheming,https://www.apolloresearch.ai/science/frontier-models-are-capable-of-incontext-scheming,draw
C25,C_third_party,Apollo Research,Apollo Research,More capable models are better at in-context scheming,https://www.apolloresearch.ai/science/more-capable-models-are-better-at-in-context-scheming,capped_v15
C26,C_third_party,Apollo Research,Apollo Research,Claude Sonnet 3.7 (often) knows when it's in alignment evaluations,https://www.apolloresearch.ai/science/claude-sonnet-37-often-knows-when-its-in-alignment-evaluations,capped_v15
BR01,B_neurips_dnb,NeurIPS 2025 D&B,BR01,DrVD-Bench: Do Vision-Language Models Reason Like Human Doctors in Medical Image Diagnosis?,https://proceedings.neurips.cc/paper_files/paper/2025/hash/12750d99d0faa73763108ff2bbeb54fd-Abstract-Datasets_and_Benchmarks_Track.html,reserve
BR02,B_neurips_dnb,NeurIPS 2025 D&B,BR02,PAC Bench: Do Foundation Models Understand Prerequisites for Executing Manipulation Policies?,https://proceedings.neurips.cc/paper_files/paper/2025/hash/9ecafb09de180aaad7b7205be7eb24a4-Abstract-Datasets_and_Benchmarks_Track.html,reserve
BR03,B_neurips_dnb,NeurIPS 2025 D&B,BR03,CGBench: Benchmarking Language Model Scientific Reasoning for Clinical Genetics Research,https://proceedings.neurips.cc/paper_files/paper/2025/hash/19138f8392f7863f483e90e1c2819fc9-Abstract-Datasets_and_Benchmarks_Track.html,reserve
BR04,B_neurips_dnb,NeurIPS 2025 D&B,BR04,REOBench: Benchmarking Robustness of Earth Observation Foundation Models,https://proceedings.neurips.cc/paper_files/paper/2025/hash/58af38e2fba04b5e00c3450018c56406-Abstract-Datasets_and_Benchmarks_Track.html,reserve
BR05,B_neurips_dnb,NeurIPS 2025 D&B,BR05,UMU-Bench: Closing the Modality Gap in Multimodal Unlearning Evaluation,https://proceedings.neurips.cc/paper_files/paper/2025/hash/18b0ee1e95f4007541e57fe507b5167e-Abstract-Datasets_and_Benchmarks_Track.html,reserve
BR06,B_neurips_dnb,NeurIPS 2025 D&B,BR06,OpenUnlearning: Accelerating LLM Unlearning via Unified Benchmarking of Methods and Metrics,https://proceedings.neurips.cc/paper_files/paper/2025/hash/3e4a38f228427ab819ba7899003a44b1-Abstract-Datasets_and_Benchmarks_Track.html,reserve
BR07,B_neurips_dnb,NeurIPS 2025 D&B,BR07,MMLongBench: Benchmarking Long-Context Vision-Language Models Effectively and Thoroughly,https://proceedings.neurips.cc/paper_files/paper/2025/hash/9c8712a9e6d34d60edb8c4c980d4a0f2-Abstract-Datasets_and_Benchmarks_Track.html,reserve
BR08,B_neurips_dnb,NeurIPS 2025 D&B,BR08,ThinkBench: Dynamic Out-of-Distribution Evaluation for Robust LLM Reasoning,https://proceedings.neurips.cc/paper_files/paper/2025/hash/4da4f3c0dd1b907c48e2119afb2e2fde-Abstract-Datasets_and_Benchmarks_Track.html,reserve
BR09,B_neurips_dnb,NeurIPS 2025 D&B,BR09,SWE-rebench: An Automated Pipeline for Task Collection and Decontaminated Evaluation of Software Engineering Agents,https://proceedings.neurips.cc/paper_files/paper/2025/hash/21bec6ace947b1b58967b945c8ac0f10-Abstract-Datasets_and_Benchmarks_Track.html,reserve
BR10,B_neurips_dnb,NeurIPS 2025 D&B,BR10,TheAgentCompany: Benchmarking LLM Agents on Consequential Real World Tasks,https://proceedings.neurips.cc/paper_files/paper/2025/hash/0d744742f6fac4d1134c019b7cef3c8a-Abstract-Datasets_and_Benchmarks_Track.html,reserve
BR11,B_neurips_dnb,NeurIPS 2025 D&B,BR11,MME-VideoOCR: Evaluating OCR-Based Capabilities of Multimodal LLMs in Video Scenarios,https://proceedings.neurips.cc/paper_files/paper/2025/hash/779efd29bc0236b07df1da5a548d0bba-Abstract-Datasets_and_Benchmarks_Track.html,reserve
BR12,B_neurips_dnb,NeurIPS 2025 D&B,BR12,PHYBench: Holistic Evaluation of Physical Perception and Reasoning in Large Language Models,https://proceedings.neurips.cc/paper_files/paper/2025/hash/01e793f8cf5689aa0ea46a1b01071bea-Abstract-Datasets_and_Benchmarks_Track.html,reserve
